freq	iccs	leg_stat	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	PER_CNV	M	P_HTHAB	European Union - Aggregate								1.87	1.54	1.8	1.81	1.76	1.61	1.79	2.02	1.78
A	ICCS0101	PER_CNV	M	P_HTHAB	Finland	3.31	2.26	2.55	2.62	2.41	1.99	2.5	1.75	1.85	1.62	1.25	1.69	1.8	1.68	1.6	1.56
A	ICCS0101	PER_CNV	M	P_HTHAB	France	1.88	1.79	1.84	1.44	0.86	0.84	0.77	0.8	0.86	0.85	0.8	0.9	0.79	0.9	0.93	0.74
A	ICCS0101	PER_CNV	M	P_HTHAB	Croatia	2.02	2.17	1.49	1.98	1.99	2.14	2.2	1.47	3.02	2.69	2.62	3.45	2.59	3.0	3.81	3.71
A	ICCS0101	PER_CNV	M	P_HTHAB	Hungary	2.29	3.28	2.52	1.92	2.62	2.14	2.66	1.38	1.96	1.43	1.58	1.56	0.79	0.88	1.25	1.06
A	ICCS0101	PER_CNV	M	P_HTHAB	Iceland						0.62		1.21	0.6				0.0	1.59	0.0	1.0
A	ICCS0101	PER_CNV	M	P_HTHAB	Italy	2.11	2.02	1.97	1.52	1.67	1.78	1.99	1.66	1.98	1.92	2.2					
A	ICCS0101	PER_CNV	M	P_HTHAB	Lithuania	17.01	13.64	15.24	14.14	11.93	11.03	13.05	8.91	10.0	10.29	7.55	6.56	4.29	5.33	5.43	3.44
A	ICCS0101	PER_CNV	M	P_HTHAB	Luxembourg									0.0		0.0	0.32	0.0	1.25	3.38	1.5
A	ICCS0101	PER_CNV	M	P_HTHAB	Latvia	9.63	7.45	6.69	6.01	8.24	9.28	11.89	11.63	10.39	10.94	10.12	8.25	7.04	7.43	9.67	6.76
A	ICCS0101	PER_CNV	M	P_HTHAB	Montenegro		9.21	1.31	1.96	1.96	10.1	5.86	4.55	3.25	3.9	1.95	2.6	2.6	2.28	0.98	1.64
A	ICCS0101	PER_CNV	M	P_HTHAB	North Macedonia	3.12	5.06	3.11	3.59	3.49	3.0	3.77							1.64	2.31	2.98
