freq	iccs	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	T	NR	France	3546.0	3470.0	3403.0	3406.0	3422.0	4091.0	3889.0	3099.0	4960.0	7099.0	7542.0	7749.0	4697.0	4784.0	5042.0	5292.0
A	ICCS0101	T	NR	Croatia	441.0	453.0	427.0		394.0	403.0	390.0	339.0			328.0	309.0	290.0	313.0	331.0	315.0
A	ICCS0101	T	NR	Hungary						1471.0	1537.0	1402.0		1700.0	264.0	521.0	762.0	946.0	1084.0	1186.0
A	ICCS0101	T	NR	Ireland						411.0	423.0									
A	ICCS0101	T	NR	Iceland						19.0				7.0	7.0					
A	ICCS0101	T	NR	Italy	5553.0	5837.0	6019.0	6072.0	6166.0	9629.0	9394.0	9147.0	9064.0	9201.0	9237.0	9218.0	8824.0	8830.0	8793.0	8801.0
A	ICCS0101	T	NR	Liechtenstein						1.0	1.0	0.0	1.0							
A	ICCS0101	T	NR	Lithuania	1778.0	1806.0	1882.0	1997.0	1976.0	1914.0	1885.0	1732.0	1659.0	1603.0	1544.0	1455.0	1364.0	1288.0	1185.0	1034.0
A	ICCS0101	T	NR	Luxembourg				41.0	54.0	55.0	61.0	63.0	1.0	52.0						
A	ICCS0101	T	NR	Latvia						721.0	697.0	645.0	628.0	611.0	597.0	544.0	309.0	515.0	533.0	502.0
A	ICCS0101	T	NR	Montenegro	14.0	15.0	16.0	20.0	11.0	15.0	48.0	40.0	46.0	49.0	23.0	30.0	36.0	40.0	36.0	20.0
A	ICCS0101	T	NR	Malta			13.0	11.0	8.0	32.0	32.0	31.0	37.0	46.0	51.0	27.0	29.0	48.0	51.0	54.0
A	ICCS0101	T	NR	Norway	136.0	132.0	133.0	138.0	140.0	131.0	133.0	142.0	140.0	144.0	165.0	164.0	160.0	167.0	160.0	156.0
A	ICCS0101	T	NR	Poland	4963.0	4931.0	4879.0	4905.0	4710.0	4698.0	4755.0	4705.0	4376.0	4373.0	4391.0	4409.0	4353.0	4339.0	4344.0	4359.0
A	ICCS0101	T	NR	Portugal	340.0	341.0	340.0	335.0	332.0	330.0	319.0	314.0	299.0	289.0	282.0	249.0	239.0	256.0	239.0	211.0
A	ICCS0101	T	NR	Romania	5810.0	5559.0	5499.0	5636.0	5598.0	6258.0	6264.0	6448.0	6192.0	5537.0	5011.0	4796.0	4951.0	5410.0	5057.0	5053.0
A	ICCS0101	T	NR	Serbia						653.0	774.0	803.0	729.0	742.0	775.0	737.0	754.0	731.0	826.0	875.0
A	ICCS0101	T	NR	Sweden	436.0	451.0	468.0	456.0	463.0	564.0	550.0	570.0	583.0	634.0	653.0	678.0	741.0	814.0	913.0	973.0
A	ICCS0101	T	NR	Slovenia	111.0	108.0	102.0	101.0	107.0	114.0	116.0	114.0	75.0	86.0	80.0	103.0	101.0	90.0	97.0	111.0
A	ICCS0101	T	NR	Slovakia		497.0	587.0	550.0	608.0	491.0	497.0	493.0	493.0	377.0	397.0	422.0	442.0	468.0	469.0	469.0
A	ICCS0101	T	NR	Turkey		1514.0	2958.0	3484.0	6434.0	25735.0	27368.0	28752.0	30212.0		34373.0	35052.0	37364.0	39118.0	42414.0	35227.0
A	ICCS0101	T	NR	England and Wales	4580.0	5022.0	4798.0	5040.0	5210.0	5271.0	5271.0	5336.0	5504.0	5476.0	5466.0					
A	ICCS0101	T	NR	Scotland	817.0	838.0	819.0	832.0	843.0	863.0	863.0									
