freq	unit	iccs	geo	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	ICCS050211	ME										166 	78 	67.0	121.0	98.0	98 
A	NR	ICCS050211	MK								730 	511 	576 	560 	827.0	567.0	365.0	413 
A	NR	ICCS050211	MT						1166 	1076 	1051 	848 	707 	887 	798.0	672.0	584.0	388 
A	NR	ICCS050211	NL	49505 	53182 	46909 	41919 	46086 	45770 	46079 	46634 	43068 	42428 	34271 	30652.0	27425.0	23825.0	21425 
A	NR	ICCS050211	NO	19746 	19436 	20817 	19703 	18432 	19781 	19068 	21285 	18833 	22595 	20130 	17867.0	15350.0	14619.0	12571 
A	NR	ICCS050211	PL	29556 	42021 	50684 	47557 	53319 	61151 	71543 	68062 	59458 	53674 	54291 	51150.0	45292.0	30529.0	21284 
A	NR	ICCS050211	PT	15542 	18340 	17360 	19993 	22792 	26965 	28163 	26428 	26162 	30250 	29934 	29237.0	25716.0	24495.0	23957 
A	NR	ICCS050211	RO	2078 	2362 	2687 	1800 	2110 	2284 	2331 	2149 	1952 	1297 	1127 	1120.0	1082.0	1266.0	1817 
A	NR	ICCS050211	RS								5889 	6796 	4600 	3056 	3572.0	3472.0	3533.0	4075 
A	NR	ICCS050211	SE	73782 	66234 	70299 	71567 	78826 	76495 	78216 	75125 	73309 	75593 	67199 	60980.0	56719.0	51639.0	49249 
A	NR	ICCS050211	SI		1350 	1425 	1946 	1549 	1997 	1147 	1291 	691 	815 	682 	704.0	873.0	852.0	839 
A	NR	ICCS050211	SK	9698 	9137 	7696 	6682 	7438 	7682 	7123 	6073 	5344 	5099 	5295 	6000.0	5591.0	5525.0	4719 
A	NR	ICCS050211	TR	299 	278 	15192 	22873 	19897 	19394 	18177 	15276 	20565 	20773 	25517 	25749.0	33441.0	33201.0	24263 
A	NR	ICCS050211	UKC-L	597519 	524094 	508450 	493489 	407239 	391807 	374686 	338796 	328115 	318507 	291858 	242732.0	214182.0	193384.0	170038 
A	NR	ICCS050211	UKM	42816 	41962 	37514 	34161 	28646 	28433 	29818 	26238 	23208 	22495 	17843 	15633.0	14041.0	15000.0	12105 
A	NR	ICCS050211	UKN	9011 	8974 	7794 	8404 	8633 	9715 	10196 	10806 	11635 	8410 	5369 	4457.0	3724.0	3418.0	3336 
A	NR	ICCS0601	AT			2058 	2209 	2656 	2594 	2514 	1503 	2399 	2320 	2506 	2443.0	2337.0	2377.0	2473 
A	NR	ICCS0601	BE								11893 	10847 	10862 	10976 	12228.0	12874.0	13202.0	14220 
A	NR	ICCS0601	BG							808 	424 	1487 	1648 	2006 	2412.0	2720.0	2824.0	2844 
A	NR	ICCS0601	CH	8798 	7663 	7685 	8072 	7868 	7896 	8147 	7549 	7416 	7877 	7806 	7803.0	7076.0	6296.0	6297 
A	NR	ICCS0601	CY	86 	135 	157 	183 	240 	285 	251 	289 	397 	433 	475 	514.0	611.0	653.0	876 
A	NR	ICCS0601	CZ								4336 	4052 	4114 	3497 	2803.0	2706.0	2668.0	2639 
A	NR	ICCS0601	DE		45088 	54889 	65615 	69093 	68994 	73271 	76594 	79787 	76038 	73375 	75347.0	72002.0	64865.0	64093 
A	NR	ICCS0601	DK								2527 	2553 	2675 	2667 	3158.0	2738.0	2917.0	3258 
A	NR	ICCS0601	EE	8 	8 	12 	30 	30 	117 	180 	306 	628 	632 	604 	494.0	686.0	981.0	1449 
A	NR	ICCS0601	EL	1577 	1837 	2930 	4272 	5970 	6574 	6692 	7785 	9820 	10424 	10904 	8838.0	10183.0	9600.0	9271 
A	NR	ICCS0601	ES		15608 	15119 	15308 	14419 	13985 	12708 	11496 	12160 	12133 	11742 	11947.0	11968.0	12711.0	14098 
