freq,leg_case,leg_stat,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,ADM,CRT_RESL,NR,LV	3938 	3734 	4546 	4653 	5224 	4640 	3440 	2541 	2283 	2104 	1960 	1971 	1815 	1763 	2007 
A,ADM,CRT_RESL,NR,ME	1898 	2623 	3795 	3632 	2963 	3357 	3266 	3250 	4130 	4709 	9451 	6808 	7039 	6065 	5287 
A,ADM,CRT_RESL,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	119 	87 	157 	137 	105 	134 
A,ADM,CRT_RESL,NR,NL	72813 	70519 	73989 	77116 	74319 	77617 	80555 	79219 	: 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_RESL,NR,PL	58730 	59500 	64121 	65699 	71865 	75697 	81240 	81353 	78992 	77567 	69315 	69238 	65053 	80032 	75980 
A,ADM,CRT_RESL,NR,PT	: 	: 	: 	: 	: 	: 	: 	27707 	29638 	26519 	27103 	29071 	74836 	27197 	27051 
A,ADM,CRT_RESL,NR,RO	52119 	65177 	71110 	120718 	193115 	215669 	167898 	128619 	107523 	149300 	98813 	83044 	76613 	83574 	80633 
A,ADM,CRT_RESL,NR,RS	: 	: 	: 	: 	: 	18277 	20149 	18681 	19274 	19180 	18666 	21285 	23736 	22104 	25178 
A,ADM,CRT_RESL,NR,SE	127307 	119884 	118997 	136957 	137453 	132323 	136806 	132953 	134461 	146887 	161926 	180107 	196210 	184009 	157643 
A,ADM,CRT_RESL,NR,SI	4931 	4835 	4096 	3519 	3667 	3386 	3439 	3004 	2589 	2682 	3233 	2793 	3088 	2604 	2669 
A,ADM,CRT_RESL,NR,SK	266 	261 	401 	299 	259 	198 	337 	177 	178 	5950 	4866 	4496 	4400 	4379 	4790 
A,ADM,CRT_RESL,NR,TR	: 	355473 	386884 	415672 	405791 	414644 	434139 	414644 	434139 	351413 	323279 	327022 	337138 	386949 	386540 
A,ADM,CRT_RESL,NR,UKC-L	570890 	650852 	712208 	773530 	743505 	932544 	794111 	405220 	429707 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_RESL,NR,UKN	9327 	10373 	10822 	8996 	8784 	7636 	7743 	7399 	: 	7511 	6715 	: 	: 	: 	: 
A,ADM,CRT_RESL,NR,XK	2308 	1326 	1008 	1194 	1405 	1107 	1130 	959 	2404 	2268 	2219 	2929 	: 	: 	: 
