freq	unit	iccs	geo	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	ICCS050211	Malta	: 	: 	: 	: 	: 	1166 	1076 	1051 	848 	707 	887 	798	672	584	388 
A	NR	ICCS050211	Netherlands	49505 	53182 	46909 	41919 	46086 	45770 	46079 	46634 	43068 	42428 	34271 	30652	27425	23825	21425 
A	NR	ICCS050211	Norway	19746 	19436 	20817 	19703 	18432 	19781 	19068 	21285 	18833 	22595 	20130 	17867	15350	14619	12571 
A	NR	ICCS050211	Poland	29556 	42021 	50684 	47557 	53319 	61151 	71543 	68062 	59458 	53674 	54291 	51150	45292	30529	21284 
A	NR	ICCS050211	Portugal	15542 	18340 	17360 	19993 	22792 	26965 	28163 	26428 	26162 	30250 	29934 	29237	25716	24495	23957 
A	NR	ICCS050211	Romania	2078 	2362 	2687 	1800 	2110 	2284 	2331 	2149 	1952 	1297 	1127 	1120	1082	1266	1817 
A	NR	ICCS050211	Serbia	: 	: 	: 	: 	: 	: 	: 	5889 	6796 	4600 	3056 	3572	3472	3533	4075 
A	NR	ICCS050211	Sweden	73782 	66234 	70299 	71567 	78826 	76495 	78216 	75125 	73309 	75593 	67199 	60980	56719	51639	49249 
A	NR	ICCS050211	Slovenia	: 	1350 	1425 	1946 	1549 	1997 	1147 	1291 	691 	815 	682 	704	873	852	839 
A	NR	ICCS050211	Slovakia	9698 	9137 	7696 	6682 	7438 	7682 	7123 	6073 	5344 	5099 	5295 	6000	5591	5525	4719 
A	NR	ICCS050211	Turkey	299 	278 	15192 	22873 	19897 	19394 	18177 	15276 	20565 	20773 	25517 	25749	33441	33201	24263 
A	NR	ICCS050211	United Kingdom	597519 	524094 	508450 	493489 	407239 	391807 	374686 	338796 	328115 	318507 	291858 	242732	214182	193384	170038 
A	NR	ICCS050211	United Kingdom	42816 	41962 	37514 	34161 	28646 	28433 	29818 	26238 	23208 	22495 	17843 	15633	14041	15000	12105 
A	NR	ICCS050211	United Kingdom	9011 	8974 	7794 	8404 	8633 	9715 	10196 	10806 	11635 	8410 	5369 	4457	3724	3418	3336 
A	NR	ICCS0601	Austria	: 	: 	2058 	2209 	2656 	2594 	2514 	1503 	2399 	2320 	2506 	2443	2337	2377	2473 
