freq	citizen	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	NAT	NR	SI	: 	: 	: 	1140 	1215 	1215 	1372 	1268 	1190 	: 	1157 	1115 	1033 	777 	976 	950 
A	NAT	NR	SK	: 	9148 	9834 	10331 	10644 	9565 	9843 	9732 	9784 	9809 	10085 	10299 	10300 	9843 	9532 	9219 
A	NAT	NR	TR	: 	114062 	118086 	126008 	132437 	145003 	156454 	174450 	196286 	226927 	256264 	281544 	257548 	285780 	326266 	279497 
A	NAT	NR	UKC-L	70684 	70859 	70974 	72995 	73197 	72126 	73960 	75120 	74945 	75715 	73365 	: 	: 	: 	: 	: 
A	NAT	NR	UKM	7559 	7654 	7581 	7905 	7769 	7626 	7591 	7449 	: 	: 	: 	: 	: 	: 	: 	: 
A	NAT	NR	UKN	1398 	1394 	1364 	1531 	1564 	1652 	1576 	1325 	1290 	1286 	1266 	: 	: 	: 	: 	: 
A	NAT	NR	XK	: 	: 	: 	1380 	1642 	1651 	1727 	1389 	1558 	1494 	1485 	1705 	1294 	: 	: 	: 
A	NAT	P_HTHAB	AL	153.94 	145.35 	: 	162.09 	: 	: 	193.03 	203.71 	205.89 	193.74 	182.07 	172.30 	158.29 	171.11 	176.73 	177.13 
A	NAT	P_HTHAB	AT	: 	: 	55.51 	56.30 	55.01 	53.11 	49.88 	46.21 	45.26 	45.83 	46.86 	48.29 	47.07 	47.91 	48.44 	47.11 
A	NAT	P_HTHAB	BA	: 	: 	57.96 	69.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A	NAT	P_HTHAB	BE	53.26 	54.31 	56.17 	56.15 	56.46 	58.51 	: 	54.31 	: 	51.48 	50.06 	52.58 	50.02 	52.47 	54.40 	56.83 
A	NAT	P_HTHAB	BG	122.65 	118.40 	124.40 	131.76 	127.10 	117.80 	105.41 	99.50 	99.67 	95.78 	92.06 	90.16 	87.71 	82.61 	79.59 	83.18 
